b'id',b'key',b'value',b'type'
b'8097816',b'created_by',b'JOSM',b'regular'
b'8097817',b'created_by',b'JOSM',b'regular'
b'8097818',b'created_by',b'JOSM',b'regular'
b'8097843',b'created_by',b'JOSM',b'regular'
b'8097870',b'created_by',b'JOSM',b'regular'
b'8097873',b'created_by',b'JOSM',b'regular'
b'8097877',b'created_by',b'JOSM',b'regular'
b'8467454',b'created_by',b'JOSM',b'regular'
b'8563100',b'created_by',b'JOSM',b'regular'
b'8563103',b'created_by',b'JOSM',b'regular'
b'8563144',b'created_by',b'JOSM',b'regular'
b'8563150',b'created_by',b'JOSM',b'regular'
b'8563151',b'created_by',b'JOSM',b'regular'
b'8563165',b'created_by',b'JOSM',b'regular'
b'8563175',b'created_by',b'JOSM',b'regular'
b'8583143',b'created_by',b'JOSM',b'regular'
b'8583144',b'created_by',b'JOSM',b'regular'
b'8583145',b'created_by',b'JOSM',b'regular'
b'8583146',b'created_by',b'JOSM',b'regular'
b'8583156',b'created_by',b'JOSM',b'regular'
b'8583156',b'name',b'Tarvin',b'regular'
b'8583156',b'place',b'village',b'regular'
b'8585982',b'created_by',b'JOSM',b'regular'
b'8585984',b'created_by',b'JOSM',b'regular'
b'8585992',b'civilization',b'roman',b'regular'
b'8585992',b'historic',b'bridge',b'regular'
b'8585992',b'name',b'Roman Bridges',b'regular'
b'8585997',b'barrier',b'stile',b'regular'
b'8585997',b'foot',b'yes',b'regular'
b'8586001',b'barrier',b'stile',b'regular'
b'8586001',b'foot',b'yes',b'regular'
b'8586006',b'barrier',b'stile',b'regular'
b'8586006',b'foot',b'yes',b'regular'
b'8586007',b'barrier',b'stile',b'regular'
b'8586007',b'foot',b'yes',b'regular'
b'8586008',b'barrier',b'stile',b'regular'
b'8586008',b'foot',b'yes',b'regular'
b'8586010',b'created_by',b'JOSM',b'regular'
b'9113393',b'created_by',b'JOSM',b'regular'
b'9113396',b'created_by',b'JOSM',b'regular'
b'9113409',b'created_by',b'JOSM',b'regular'
b'9113412',b'created_by',b'JOSM',b'regular'
b'9113414',b'created_by',b'JOSM',b'regular'
b'9113432',b'created_by',b'JOSM',b'regular'
b'9113433',b'created_by',b'JOSM',b'regular'
b'9113434',b'created_by',b'JOSM',b'regular'
b'9113435',b'created_by',b'JOSM',b'regular'
b'9113436',b'created_by',b'JOSM',b'regular'
b'9113437',b'created_by',b'JOSM',b'regular'
b'9113438',b'created_by',b'JOSM',b'regular'
b'9113439',b'created_by',b'JOSM',b'regular'
b'9113440',b'name',b'Huxley',b'regular'
b'9113440',b'place',b'hamlet',b'regular'
b'9113448',b'created_by',b'JOSM',b'regular'
b'9113494',b'created_by',b'JOSM',b'regular'
b'9113502',b'created_by',b'JOSM',b'regular'
b'9113521',b'highway',b'give_way',b'regular'
